gesture_name,hand,capture_id,timestamp,landmark_id,landmark_name,x,y,z
right_ok_sign_1,Right,1,2026-06-04 14:56:34,0,WRIST,0.5704,0.6683,0.0
right_ok_sign_1,Right,1,2026-06-04 14:56:34,1,THUMB_CMC,0.5181,0.6118,-0.0106
right_ok_sign_1,Right,1,2026-06-04 14:56:34,2,THUMB_MCP,0.4808,0.5395,-0.0245
right_ok_sign_1,Right,1,2026-06-04 14:56:34,3,THUMB_IP,0.4457,0.4938,-0.042
right_ok_sign_1,Right,1,2026-06-04 14:56:34,4,THUMB_TIP,0.4204,0.4487,-0.0593
right_ok_sign_1,Right,1,2026-06-04 14:56:34,5,INDEX_MCP,0.5431,0.4362,-0.0075
right_ok_sign_1,Right,1,2026-06-04 14:56:34,6,INDEX_PIP,0.501,0.3843,-0.0443
right_ok_sign_1,Right,1,2026-06-04 14:56:34,7,INDEX_DIP,0.4605,0.4038,-0.0772
right_ok_sign_1,Right,1,2026-06-04 14:56:34,8,INDEX_TIP,0.4375,0.4334,-0.0956
right_ok_sign_1,Right,1,2026-06-04 14:56:34,9,MIDDLE_MCP,0.5689,0.4272,-0.0203
right_ok_sign_1,Right,1,2026-06-04 14:56:34,10,MIDDLE_PIP,0.556,0.3244,-0.0443
right_ok_sign_1,Right,1,2026-06-04 14:56:34,11,MIDDLE_DIP,0.5406,0.2553,-0.0648
right_ok_sign_1,Right,1,2026-06-04 14:56:34,12,MIDDLE_TIP,0.5293,0.1959,-0.0792
right_ok_sign_1,Right,1,2026-06-04 14:56:34,13,RING_MCP,0.5938,0.4464,-0.0379
right_ok_sign_1,Right,1,2026-06-04 14:56:34,14,RING_PIP,0.6043,0.3515,-0.0602
right_ok_sign_1,Right,1,2026-06-04 14:56:34,15,RING_DIP,0.5991,0.2864,-0.0747
right_ok_sign_1,Right,1,2026-06-04 14:56:34,16,RING_TIP,0.5907,0.2262,-0.0839
right_ok_sign_1,Right,1,2026-06-04 14:56:34,17,PINKY_MCP,0.6131,0.4867,-0.0568
right_ok_sign_1,Right,1,2026-06-04 14:56:34,18,PINKY_PIP,0.6388,0.4225,-0.0732
right_ok_sign_1,Right,1,2026-06-04 14:56:34,19,PINKY_DIP,0.6447,0.3695,-0.0774
right_ok_sign_1,Right,1,2026-06-04 14:56:34,20,PINKY_TIP,0.6439,0.3177,-0.0797
right_ok_sign_2,Right,2,2026-06-04 14:56:50,0,WRIST,0.6301,0.7204,0.0
right_ok_sign_2,Right,2,2026-06-04 14:56:50,1,THUMB_CMC,0.5863,0.6878,-0.0212
right_ok_sign_2,Right,2,2026-06-04 14:56:50,2,THUMB_MCP,0.5513,0.6363,-0.038
right_ok_sign_2,Right,2,2026-06-04 14:56:50,3,THUMB_IP,0.5295,0.5963,-0.0558
right_ok_sign_2,Right,2,2026-06-04 14:56:50,4,THUMB_TIP,0.518,0.5526,-0.0715
right_ok_sign_2,Right,2,2026-06-04 14:56:50,5,INDEX_MCP,0.5748,0.5164,-0.0144
right_ok_sign_2,Right,2,2026-06-04 14:56:50,6,INDEX_PIP,0.5477,0.4495,-0.0494
right_ok_sign_2,Right,2,2026-06-04 14:56:50,7,INDEX_DIP,0.5314,0.4788,-0.0776
right_ok_sign_2,Right,2,2026-06-04 14:56:50,8,INDEX_TIP,0.527,0.5188,-0.0917
right_ok_sign_2,Right,2,2026-06-04 14:56:50,9,MIDDLE_MCP,0.6114,0.4991,-0.0205
right_ok_sign_2,Right,2,2026-06-04 14:56:50,10,MIDDLE_PIP,0.6005,0.4048,-0.0394
right_ok_sign_2,Right,2,2026-06-04 14:56:50,11,MIDDLE_DIP,0.5891,0.3473,-0.0568
right_ok_sign_2,Right,2,2026-06-04 14:56:50,12,MIDDLE_TIP,0.5789,0.2952,-0.0695
right_ok_sign_2,Right,2,2026-06-04 14:56:50,13,RING_MCP,0.6474,0.5107,-0.0323
right_ok_sign_2,Right,2,2026-06-04 14:56:50,14,RING_PIP,0.655,0.4252,-0.0511
right_ok_sign_2,Right,2,2026-06-04 14:56:50,15,RING_DIP,0.6578,0.3693,-0.0649
right_ok_sign_2,Right,2,2026-06-04 14:56:50,16,RING_TIP,0.657,0.3145,-0.0741
